Marca temporal,"1. En una escala del 0 al 10, ¿qué tan estresado/a te sientes actualmente? ",¿Cuántas horas duermes en promedio por noche? ,  ¿Cuántas horas estudias al día fuera de clases?  ,  ¿Cuántas horas pasas en redes sociales al día?  ,  ¿Cuántas materias estás cursando actualmente?  ,  ¿Cuántos días a la semana realizas actividad física?  ,"  ¿Qué tanto sientes que tienes apoyo emocional (familia, amigos, pareja)?  ",  ¿Cuántas bebidas con cafeína consumes al día?  ,  ¿Cuál es tu edad?  
4/15/2026 9:47:46,10,6,2,6,7,2,8,2,21
4/15/2026 9:51:38,9,5,6,6,6,7,3,0,24
4/15/2026 9:52:52,10,5,2,6,6,2,10,2,22
4/15/2026 10:07:21,7,6,2,6,3,4,10,0,20
4/15/2026 10:18:57,10,2,5,6,4,4,6,0,22
4/15/2026 10:26:21,10,7,0,7,3,0,10,0,24
4/15/2026 10:28:12,5,6,3,5,4,5,7,3,23
4/15/2026 10:31:41,3,8,2,9,5,7,8,5,23
4/15/2026 10:33:28,10,9,5,4,6,7,8,0,25
4/15/2026 10:35:30,7,7,3,8,6,3,4,0,24
4/15/2026 10:36:50,5,8,2,3,4,6,6,0,22
4/15/2026 10:37:50,8,9,6,5,2,3,5,3,23
4/15/2026 10:39:48,10,3,4,2,6,4,5,6,22
4/15/2026 10:40:20,8,4,3,5,7,5,7,4,24
4/15/2026 10:41:05,4,7,1,6,8,4,6,0,22
4/15/2026 10:41:41,9,8,1,6,7,5,8,2,22
4/15/2026 10:42:33,3,9,2,8,2,1,9,2,23
4/15/2026 10:43:24,7,5,5,8,6,7,5,3,21
4/15/2026 10:44:14,9,5,4,6,6,5,8,4,23
4/15/2026 10:44:47,7,5,3,2,7,4,8,4,22
4/15/2026 10:46:19,10,5,3,4,8,6,9,0,22
4/15/2026 10:46:52,9,8,2,6,4,7,3,3,21
4/15/2026 10:48:00,5,5,3,4,2,7,5,0,23
4/15/2026 10:49:16,7,6,3,2,6,5,7,5,21
4/15/2026 10:49:55,4,5,1,6,7,5,6,2,25
4/15/2026 10:50:28,7,8,1,6,3,6,6,4,23
4/15/2026 10:51:41,9,3,4,2,9,5,6,5,22
4/15/2026 10:54:28,5,6,2,5,4,6,6,4,22
4/15/2026 10:55:04,7,5,2,5,5,6,9,5,21
4/15/2026 10:56:06,9,5,3,2,7,4,5,6,25
